{'arch': 'resnet18', 'checkpoint': './save/model_39.th', 'widen_factor': 1, 'batch_size': 128, 'lr': 0.2, 'nb_iter': 2000, 'print_every': 500, 'data_dir': '../data', 'val_frac': 0.01, 'output_dir': './save', 'trigger_info': './save/trigger_info.th', 'poison_type': 'benign', 'poison_target': 0, 'trigger_alpha': 1.0, 'anp_eps': 0.4, 'anp_steps': 1, 'anp_alpha': 0.2, 'dataset': 'cifar10', 'optimization_method': 'FO', 'zo_method': 'RGE', 'q': 192, 'mu': 0.005, 'model_type': 'AE_DS', 'encoder_arch': 'cifar_encoder_192_24_noise', 'decoder_arch': 'cifar_decoder_192_24_noise', 'classifier': '', 'pretrained_denoiser': '', 'pretrained_encoder': './trained_models/CIFAR-10/ZO_AE_DS_lr-3_q192_Coord/best_encoder.pth.tar', 'pretrained_decoder': './trained_models/CIFAR-10/ZO_AE_DS_lr-3_q192_Coord/best_decoder.pth.tar'}
Files already downloaded and verified
Files already downloaded and verified
Iter 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
77500 	 0.200 	 325.5 	 0.5084 	 0.8429 	 0.0000 	 1.0000 	 0.4568 	 0.8518
78000 	 0.200 	 325.5 	 0.5182 	 0.8405 	 0.0000 	 1.0000 	 0.4463 	 0.8558
78500 	 0.200 	 325.5 	 0.5114 	 0.8428 	 0.0000 	 1.0000 	 0.4442 	 0.8562
79000 	 0.200 	 325.5 	 0.5218 	 0.8387 	 0.0000 	 1.0000 	 0.4581 	 0.8547
79500 	 0.200 	 325.5 	 0.5110 	 0.8405 	 0.0000 	 1.0000 	 0.4485 	 0.8577
80000 	 0.200 	 325.4 	 0.5067 	 0.8427 	 0.0000 	 1.0000 	 0.4378 	 0.8592
80500 	 0.200 	 325.5 	 0.5125 	 0.8403 	 0.0000 	 1.0000 	 0.4561 	 0.8560
81000 	 0.200 	 528.7 	 0.5120 	 0.8421 	 0.0000 	 1.0000 	 0.4482 	 0.8558
81500 	 0.200 	 705.1 	 0.5078 	 0.8430 	 0.0000 	 1.0000 	 0.4428 	 0.8548
82000 	 0.200 	 630.2 	 0.5073 	 0.8428 	 0.0000 	 1.0000 	 0.4615 	 0.8535
82500 	 0.200 	 325.5 	 0.5005 	 0.8452 	 0.0000 	 1.0000 	 0.4453 	 0.8567
83000 	 0.200 	 325.9 	 0.5090 	 0.8430 	 0.0000 	 1.0000 	 0.4472 	 0.8556
83500 	 0.200 	 542.2 	 0.5125 	 0.8425 	 0.0000 	 1.0000 	 0.4621 	 0.8539
84000 	 0.200 	 704.7 	 0.5215 	 0.8383 	 0.0000 	 1.0000 	 0.4503 	 0.8568
84500 	 0.200 	 587.8 	 0.5127 	 0.8407 	 0.0000 	 1.0000 	 0.4389 	 0.8579
85000 	 0.200 	 326.2 	 0.5141 	 0.8417 	 0.0000 	 1.0000 	 0.4390 	 0.8576
85500 	 0.200 	 325.3 	 0.5085 	 0.8412 	 0.0000 	 1.0000 	 0.4370 	 0.8587
86000 	 0.200 	 325.4 	 0.5131 	 0.8416 	 0.0000 	 1.0000 	 0.4592 	 0.8557
86500 	 0.200 	 471.7 	 0.5091 	 0.8423 	 0.0000 	 1.0000 	 0.4519 	 0.8545
87000 	 0.200 	 678.3 	 0.5057 	 0.8439 	 0.0000 	 1.0000 	 0.4466 	 0.8556
87500 	 0.200 	 678.5 	 0.5099 	 0.8420 	 0.0000 	 1.0000 	 0.4574 	 0.8524
88000 	 0.200 	 678.0 	 0.5167 	 0.8393 	 0.0000 	 1.0000 	 0.4597 	 0.8530
88500 	 0.200 	 678.1 	 0.5147 	 0.8400 	 0.0000 	 1.0000 	 0.4638 	 0.8537
89000 	 0.200 	 690.8 	 0.5044 	 0.8437 	 0.0000 	 1.0000 	 0.4396 	 0.8583
89500 	 0.200 	 613.6 	 0.5107 	 0.8432 	 0.0000 	 1.0000 	 0.4478 	 0.8572
90000 	 0.200 	 544.5 	 0.5155 	 0.8403 	 0.0000 	 1.0000 	 0.4482 	 0.8564
90500 	 0.200 	 684.7 	 0.5075 	 0.8436 	 0.0000 	 1.0000 	 0.4480 	 0.8546
91000 	 0.200 	 693.3 	 0.5070 	 0.8419 	 0.0000 	 1.0000 	 0.4548 	 0.8543
91500 	 0.200 	 678.2 	 0.5108 	 0.8415 	 0.0000 	 1.0000 	 0.4429 	 0.8558
92000 	 0.200 	 677.8 	 0.5161 	 0.8402 	 0.0000 	 1.0000 	 0.4633 	 0.8522
92500 	 0.200 	 678.2 	 0.5107 	 0.8416 	 0.0000 	 1.0000 	 0.4587 	 0.8523
93000 	 0.200 	 677.9 	 0.5122 	 0.8410 	 0.0000 	 1.0000 	 0.4457 	 0.8554
93500 	 0.200 	 678.4 	 0.5056 	 0.8417 	 0.0000 	 1.0000 	 0.4556 	 0.8524
94000 	 0.200 	 693.4 	 0.5184 	 0.8380 	 0.0000 	 1.0000 	 0.4523 	 0.8545
94500 	 0.200 	 681.3 	 0.5082 	 0.8418 	 0.0000 	 1.0000 	 0.4395 	 0.8582
95000 	 0.200 	 678.3 	 0.5069 	 0.8419 	 0.0000 	 1.0000 	 0.4576 	 0.8542
95500 	 0.200 	 677.9 	 0.5147 	 0.8410 	 0.0000 	 1.0000 	 0.4619 	 0.8517
96000 	 0.200 	 678.4 	 0.5102 	 0.8416 	 0.0000 	 1.0000 	 0.4516 	 0.8544
96500 	 0.200 	 453.9 	 0.5252 	 0.8377 	 0.0000 	 1.0000 	 0.4479 	 0.8571
97000 	 0.200 	 325.4 	 0.5082 	 0.8427 	 0.0000 	 1.0000 	 0.4569 	 0.8536
97500 	 0.200 	 325.5 	 0.5121 	 0.8424 	 0.0000 	 1.0000 	 0.4530 	 0.8565
98000 	 0.200 	 325.4 	 0.5136 	 0.8413 	 0.0000 	 1.0000 	 0.4470 	 0.8553
98500 	 0.200 	 325.5 	 0.5133 	 0.8414 	 0.0000 	 1.0000 	 0.4389 	 0.8591
99000 	 0.200 	 325.4 	 0.5100 	 0.8427 	 0.0000 	 1.0000 	 0.4513 	 0.8549
99500 	 0.200 	 325.3 	 0.5173 	 0.8411 	 0.0000 	 1.0000 	 0.4521 	 0.8542
100000 	 0.200 	 325.4 	 0.5132 	 0.8406 	 0.0000 	 1.0000 	 0.4505 	 0.8557
100500 	 0.200 	 325.4 	 0.5155 	 0.8400 	 0.0000 	 1.0000 	 0.4514 	 0.8552
101000 	 0.200 	 325.4 	 0.5042 	 0.8430 	 0.0000 	 1.0000 	 0.4565 	 0.8543
101500 	 0.200 	 325.4 	 0.5194 	 0.8396 	 0.0000 	 1.0000 	 0.4525 	 0.8551
102000 	 0.200 	 325.4 	 0.5088 	 0.8416 	 0.0000 	 1.0000 	 0.4474 	 0.8555
